id,name
53334,Jim Sheridan
208118,James Bogle
932403,Fernando Pérez
1197831,Vanessa Middleton
1010308,Marita Giovanni
110169,John McKay
77747,Jon Purdy
86203,Bart Freundlich
15042,Arlene Sanford
202885,Henry Barrial
86293,Robert M. Young
67897,Jeff Kanew
102445,John Sayles
21958,Mark Rydell
130816,Jesse Peretz
31123,Rob Hardy
266089,Bernard Rapp
96557,Ryosuke Hashiguchi
48583,Anne Fontaine
1123834,Monteith McCollum
85365,Dale Schott
1008375,Ruedi Gerber
566294,Patricio Guzmán
569307,Patrick Hasburgh 
21278,Alan Alda
940711,Bob Dahlin
84369,Eugene Jarecki
23628,Eriq La Salle
565446,Dana Janklowicz-Mann
1081886,John C. Walsh
37852,George Hickenlooper
15452,David Steinberg
46297,Jay Russell
85357,Christian Charles
1390937,Estela Bravo
62824,Gary J. Tunnicliffe
116832,Patricia Cardoso
167407,John Alan Schwartz
66088,Ronald F. Maxwell
8447,Jeff Daniels
592891,Holly Hardman
20026,Samira Makhmalbaf
1654464,Peter Mattei
17329,Neil Burger
84021,Paul Gross
22808,Laurence Malkin
87918,Ruud van Hemert
55790,Allan Moyle
1124839,Derek Burbidge
58047,Charles Finch
38883,Arnaud Desplechin
232235,Thomas Michael Donnelly
83791,Michael D. Moore
15148,Jon Amiel
35208,Coline Serreau
2303,Wim Wenders
18897,Jackie Chan
57138,Tony Bill
92690,Elliott Hong
103511,José Luis Garci
97026,John Luessenhop
4951,Robert Dalva
1081758,Mark Wilkinson
1081892,Mark Moskowitz
6413,Danny Huston
122449,Steve James
1462,Tim Blake Nelson
58189,Justin Lin
76559,Sam Jones
34613,Philippe de Broca
143491,Gérard Lauzier
1491995,Rick de Oliveira
54607,Bahman Ghobadi
146811,Miles Swain
1027168,Joel Silberg
6495,Mira Nair
72427,Alan Rudolph
130300,Aluizio Abranches
937129,Jean-Xavier de Lestrade
4415,Federico Fellini
21113,D.A. Pennebaker
148000,Steve Yeager
39819,Wayne Wang
131770,Jed Weintrob
196769,Jonathan Wacks
67593,Leslie Megahey
133259,Arthur Hiller
69099,Dan Ireland
54148,Gonzalo Suárez
139537,William Gazecki
1168924,Gabrielle Baur
4760,Deepa Mehta
105882,Neema Barnette
52194,Tony Randel
18969,Doris Dörrie
51373,Larry Peerce
42309,Tibor Takács
84047,Howard Storm
1667420,Tom Piozet
128947,Jeremy Kagan
240033,Jean-Pierre Denis
84830,Lab Ky Mo
981142,Mark Decena
40304,Jacques Nolot
1048445,Philip Boston
55968,Rodolphe Marconi
230987,Nathaniel Kahn
550104,Scott Hamilton Kennedy
34949,Lucy Walker
2352,Jean-Jacques Annaud
1109747,Charles Atlas
550044,Jonathan Karsh
1009328,A. Dean Bell
107736,John Henderson
232937,Cheryl Dunye
51910,David Green
67451,Delbert Mann
834,Otto Preminger
127936,Chris Stokes
25854,Lucas Belvaux
87214,Allan Burns
117350,Dale Resteghini
149916,Manuel Boursinhac
54441,James Ivory
43979,David Saperstein
1241,John Turturro
88309,Julián Hernández
54469,Michael Almereyda
21031,Alejandro Agresti
229294,Mark Kitchell
68774,Christopher Menaul
227851,Jonathan Kahn
998745,Carlos Marcovich
18378,Herbert Ross
1217013,Paul Lazarus
74566,Yves Simoneau
38250,James B. Clark
110879,Roko Belic
939308,Joel DeMott
9855,Terence Young
39012,Peter Bogdanovich
58614,SABU
65401,Charlie Peters
21792,George Gallo
7017,Roger Michell
13663,Robert Shaye
57865,Álex de la Iglesia
1764642,Steven Feder
80570,Walter Lang
90641,Robb Moss
141007,Louis Schwartsberg
28904,Hugh Wilson
84552,Rory Kelly
587376,Paula van der Oest
50300,John Farrow
82335,Richard Glatzer
1614225,James Anderson
82255,Peter Israelson
1125474,Graeme Rattigan
39743,Henry Levin
224214,John Bradshaw
944544,Marc Fusco
239075,Dylan Kidd
225898,István Szabó
20907,Antoine Fuqua
84934,Patrick Paulson
209972,Robert Stone
10808,Stephen Norrington
115892,Jehane Noujaim
931194,George Melford
11528,Jean Renoir
10001,William Wyler
2746,Elia Kazan
102429,Roger Corman
93587,Daryl Duke
229297,Peter Davis
18627,Paul Morrissey
1380238,Ira Wohl
1146734,Arnold Schwartzman
35479,John Blanchard
18899,Yuen Woo-ping
134306,Kevin Sullivan
38774,Ray Lawrence
88149,Ron Mann
97579,Guy Maddin
56205,Atom Egoyan
86290,Derek Jarman
35927,Alain Corneau
1505909,Miguel Rey
18844,John Madden
16767,Aki Kaurismäki
114678,Markku Pölönen
85919,Peter Kuran
1596334,Paul Chart
51966,Ken Blakey
126303,Eric Steven Stahl
112588,Kirby Dick
43222,Michael Grossman
18308,Steve Barron
1484637,Nettie Wild
226613,Devin Sarno
88448,Roy Frumkes
151083,Matti Ijäs
84554,Grant Gee
146977,Vince Offer
1132116,Robert J. Siegel
56210,Pablo Trapero
55116,Joe Chappelle
1039158,Josh Aronson
55299,Mark Herman
144014,Gakuryû Ishii
225499,J. Mills Goodloe
2034,Danny Boyle
49361,Bill Bennett
1170415,Lawrence Blume
113736,Giordano Gederlini
1128,Agnieszka Holland
17282,Takashi Miike
305273,Matthias X. Oberg
5696,Bruce Beresford
1072046,Travis Wilkerson
47059,Gerardo Herrero
2,Mark Hamill
1321054,Erik Smith Meyer
73663,Elizabeth Gill
82418,Erik Van Looy
120871,Sergio Arau
5281,Spike Lee
45996,Ryûhei Kitamura
6198,Vondie Curtis-Hall
589479,Bryan Poyser
141197,Michael Bafaro
96200,Alan Peterson
60981,Peter Brook
